config,particles,timesteps,memory,runtime,looptime,mpi_pair,mpi_bond,mpi_neigh,mpi_comm,mpi_output,mpi_modify,mpi_other
all,512,10000000,4.750000,2199,2192.340088,35.380001,0.020000,0.700000,41.450001,0.150000,20.459999,1.840000
all,512,25000000,7.890000,5831,5823.259766,33.660000,0.020000,0.640000,38.840000,0.740000,24.040001,2.070000
all,512,25000000,7.890000,5839,5832.930176,33.369999,0.020000,0.630000,39.090000,1.580000,23.219999,2.080000
all,512,25000000,7.900000,5605,5596.040039,34.009998,0.020000,0.670000,33.740002,1.320000,28.030001,2.220000
all,512,25000000,7.780000,5584,5575.649902,34.330002,0.020000,0.680000,41.020000,0.360000,21.809999,1.780000
all,512,25000000,7.910000,5684,5673.410156,35.939999,0.020000,0.670000,40.669998,0.660000,20.410000,1.630000
all,512,25000000,7.870000,5574,5568.939941,36.380001,0.020000,0.680000,42.209999,0.040000,19.180000,1.490000
all,512,25000000,7.900000,5844,5839.399902,33.500000,0.020000,0.660000,42.110001,0.360000,21.440001,1.910000
all,512,25000000,7.920000,5804,5792.970215,35.389999,0.020000,0.660000,40.700001,0.230000,21.250000,1.760000
all,512,25000000,7.910000,5954,5944.169922,33.290001,0.020000,0.650000,43.889999,0.020000,20.420000,1.720000
all,512,25000000,7.770000,5429,5423.390137,35.040001,0.020000,0.700000,43.549999,0.140000,19.010000,1.540000
all,512,50000000,12.970000,11583,11575.500000,34.279999,0.020000,0.640000,38.209999,1.170000,23.910000,1.780000
all,512,50000000,12.970000,11110,11102.500000,34.400002,0.020000,0.640000,39.770000,0.500000,22.920000,1.750000
all,512,50000000,12.920000,11366,11357.599609,34.060001,0.020000,0.650000,40.340000,1.000000,22.299999,1.630000
all,512,50000000,12.930000,11083,11075.400391,34.389999,0.020000,0.670000,40.230000,0.800000,21.910000,1.980000
all,512,50000000,12.960000,11810,11798.799805,32.299999,0.020000,0.630000,40.200001,0.900000,23.969999,1.980000
all,512,50000000,12.940000,11582,11575.599609,34.320000,0.020000,0.660000,42.799999,0.110000,20.270000,1.830000
all,512,50000000,12.960000,11464,11459.200195,35.430000,0.020000,0.660000,42.130001,0.080000,19.910000,1.770000
all,512,50000000,12.960000,11384,11379.299805,36.000000,0.020000,0.660000,42.259998,0.080000,19.320000,1.650000
all,512,50000000,12.970000,12005,11998.000000,33.700001,0.020000,0.640000,43.610001,0.040000,20.260000,1.730000
all,512,50000000,0.000000,11704,11696.000000,34.919998,0.020000,0.650000,42.590000,0.030000,19.930000,1.870000
none,512,100000,1.980000,22,14.640000,37.040001,0.020000,0.900000,53.860001,0.000000,6.030000,2.140000
none,512,100000,1.320000,22,15.919500,34.810001,0.020000,0.870000,56.450001,0.010000,5.610000,2.220000
none,512,100000,1.980000,22,15.010000,35.790001,0.020000,0.880000,56.320000,0.000000,4.800000,2.190000
none,512,100000,1.980000,23,15.094700,35.840000,0.020000,0.880000,56.290001,0.000000,4.790000,2.180000
none,512,100000,1.980000,21,15.101300,35.759998,0.020000,0.880000,56.419998,0.000000,4.750000,2.170000
none,512,100000,1.990000,21,15.114000,35.889999,0.020000,0.880000,56.250000,0.000000,4.780000,2.180000
none,512,100000,1.980000,23,15.338100,34.880001,0.020000,0.860000,54.990002,0.150000,4.690000,4.400000
none,512,100000,1.980000,21,15.016600,35.759998,0.020000,0.890000,56.200001,0.000000,4.920000,2.210000
none,512,100000,1.990000,22,14.985700,35.650002,0.020000,0.880000,56.360001,0.000000,4.880000,2.210000
none,512,100000,1.980000,22,15.027400,35.880001,0.020000,0.880000,56.139999,0.000000,4.870000,2.200000
none,512,500000,2.040000,77,73.170998,36.500000,0.020000,0.900000,54.939999,0.030000,4.890000,2.710000
none,512,500000,2.100000,80,73.630402,36.860001,0.020000,0.890000,55.080002,0.000000,4.910000,2.240000
none,512,500000,2.060000,81,74.647697,36.150002,0.020000,0.880000,53.759998,0.620000,5.310000,3.260000
none,512,500000,1.980000,79,73.028503,36.750000,0.020000,0.910000,55.230000,0.000000,4.870000,2.220000
none,512,500000,1.980000,81,73.739304,36.500000,0.020000,0.890000,54.759998,0.040000,4.990000,2.800000
none,512,500000,1.990000,79,73.839302,36.500000,0.020000,0.890000,54.860001,0.000000,5.600000,2.130000
none,512,500000,1.980000,82,76.082497,35.160000,0.020000,0.870000,52.980000,3.580000,5.260000,2.140000
none,512,500000,1.980000,80,73.283798,36.689999,0.020000,0.900000,55.009998,0.000000,5.170000,2.200000
none,512,500000,1.980000,79,73.347000,36.610001,0.020000,0.900000,55.340000,0.000000,4.910000,2.220000
none,512,500000,1.980000,80,75.058601,36.080002,0.020000,0.880000,56.009998,0.000000,4.830000,2.180000
none,512,1000000,1.980000,156,150.417999,35.900002,0.020000,0.890000,56.169998,0.000000,4.850000,2.170000
none,512,1000000,1.980000,157,150.447006,35.849998,0.020000,0.880000,56.070000,0.120000,4.800000,2.260000
none,512,1000000,1.980000,158,151.276993,35.540001,0.020000,0.880000,55.849998,0.050000,4.740000,2.920000
none,512,1000000,1.980000,157,150.485992,35.869999,0.020000,0.880000,56.259998,0.010000,4.790000,2.180000
none,512,1000000,1.980000,158,151.054993,35.529999,0.020000,0.890000,56.270000,0.180000,4.900000,2.210000
none,512,1000000,1.980000,159,151.436996,35.410000,0.020000,0.880000,55.380001,0.100000,4.960000,3.260000
none,512,1000000,1.980000,156,149.360992,36.139999,0.020000,0.880000,53.860001,0.380000,6.530000,2.180000
none,512,1000000,1.980000,154,147.837997,36.540001,0.020000,0.890000,53.580002,0.010000,6.750000,2.210000
none,512,1000000,2.110000,153,146.177994,36.820000,0.020000,0.910000,55.090000,0.000000,4.920000,2.230000
none,512,1000000,1.980000,156,149.613998,36.119999,0.020000,0.890000,55.400002,0.040000,5.180000,2.360000
none,512,5000000,1.980000,774,768.044983,35.619999,0.020000,0.870000,55.040001,0.290000,5.720000,2.450000
none,512,5000000,1.980000,777,771.911011,35.430000,0.020000,0.870000,54.980000,0.150000,6.430000,2.120000
none,512,5000000,2.110000,770,765.197021,36.119999,0.020000,0.860000,53.430000,0.390000,6.910000,2.270000
none,512,5000000,1.980000,769,764.606995,35.090000,0.020000,0.860000,55.630001,0.690000,5.490000,2.210000
none,512,5000000,1.980000,772,768.439026,35.180000,0.020000,0.850000,53.220001,0.620000,7.020000,3.090000
none,512,5000000,2.110000,772,767.375000,35.389999,0.020000,0.850000,55.330002,0.320000,5.200000,2.890000
none,512,5000000,1.980000,765,759.622986,36.080002,0.020000,0.880000,52.590000,0.680000,6.730000,3.010000
none,512,5000000,1.980000,765,761.471008,35.869999,0.020000,0.880000,52.860001,0.080000,7.480000,2.810000
none,512,5000000,2.110000,771,766.682983,35.380001,0.020000,0.850000,53.169998,1.220000,6.710000,2.640000
none,512,5000000,1.990000,775,770.528992,36.220001,0.020000,0.880000,54.490002,0.010000,6.130000,2.240000
none,512,10000000,1.980000,1594,1587.810059,34.950001,0.020000,0.860000,54.169998,0.860000,6.440000,2.700000
none,512,10000000,1.980000,1531,1524.520020,35.830002,0.020000,0.880000,55.639999,0.320000,4.920000,2.390000
none,512,10000000,1.980000,1611,1600.750000,34.619999,0.020000,0.850000,54.849998,0.730000,6.570000,2.350000
none,512,10000000,2.110000,1593,1586.619995,35.040001,0.020000,0.850000,55.119999,0.520000,6.240000,2.210000
none,512,10000000,1.980000,1602,1595.810059,34.549999,0.020000,0.850000,54.939999,0.350000,6.340000,2.950000
none,512,10000000,1.980000,1574,1567.189941,35.090000,0.020000,0.850000,55.660000,0.220000,5.770000,2.390000
none,512,10000000,1.980000,1624,1617.280029,34.169998,0.020000,0.850000,56.590000,0.100000,5.890000,2.380000
none,512,10000000,1.980000,1630,1624.010010,35.090000,0.020000,0.850000,55.459999,0.230000,6.080000,2.270000
none,512,10000000,1.980000,1564,1547.810059,35.169998,0.020000,0.860000,55.520000,0.250000,5.930000,2.250000
none,512,10000000,1.980000,1631,1623.199951,34.439999,0.020000,0.850000,56.570000,0.220000,5.630000,2.250000
none,512,25000000,1.980000,3999,3994.939941,34.160000,0.020000,0.840000,55.139999,0.500000,6.390000,2.960000
none,512,25000000,1.980000,4022,4013.919922,35.180000,0.020000,0.850000,55.580002,0.290000,5.930000,2.140000
none,512,25000000,2.110000,4037,4030.229980,37.090000,0.020000,0.820000,54.259998,0.250000,5.420000,2.140000
none,512,25000000,2.110000,4142,4135.379883,34.400002,0.020000,0.830000,56.900002,0.080000,5.440000,2.320000
none,512,25000000,2.110000,4045,4037.179932,35.099998,0.020000,0.850000,55.709999,0.220000,5.870000,2.220000
none,512,25000000,2.110000,4164,4158.990234,37.459999,0.020000,0.830000,52.869999,0.320000,5.980000,2.530000
none,512,25000000,0.000000,3969,3962.050049,36.470001,0.020000,0.840000,52.950001,0.260000,7.060000,2.400000
none,512,25000000,1.980000,3984,3979.370117,36.320000,0.020000,0.880000,52.509998,0.540000,7.250000,2.480000
none,512,25000000,2.110000,4024,4018.370117,34.910000,0.020000,0.830000,55.369999,0.450000,5.950000,2.480000
none,512,25000000,2.110000,4192,4184.459961,37.279999,0.020000,0.820000,54.330002,0.100000,5.310000,2.140000
none,512,50000000,2.110000,8606,8599.389648,35.500000,0.020000,0.780000,55.209999,0.180000,5.980000,2.340000
none,512,50000000,2.110000,8198,8188.000000,36.570000,0.020000,0.820000,55.090000,0.060000,5.310000,2.130000
none,512,50000000,2.110000,8290,8283.650391,36.660000,0.020000,0.840000,53.520000,0.200000,6.430000,2.330000
none,512,50000000,2.110000,8203,8194.009766,36.570000,0.020000,0.830000,54.869999,0.170000,5.500000,2.050000
none,512,50000000,2.110000,8221,8212.469727,36.700001,0.020000,0.810000,55.090000,0.230000,4.990000,2.150000
none,512,50000000,2.110000,8165,8158.129883,36.430000,0.020000,0.820000,54.650002,0.050000,5.710000,2.340000
none,512,50000000,2.110000,8295,8287.360352,35.779999,0.020000,0.830000,55.250000,0.120000,5.680000,2.320000
none,512,50000000,2.110000,8057,8051.680176,37.180000,0.020000,0.830000,54.299999,0.200000,5.390000,2.070000
none,512,50000000,2.110000,7882,7872.200195,37.970001,0.020000,0.840000,53.900002,0.130000,5.050000,2.100000
none,512,50000000,1.980000,8571,8565.830078,34.250000,0.020000,0.830000,56.180000,0.280000,6.190000,2.250000
rdf,512,100000,2.740000,21,16.578100,32.919998,0.020000,0.820000,53.439999,0.600000,8.550000,3.660000
rdf,512,100000,1.830000,22,17.017099,32.520000,0.020000,0.820000,52.020000,1.160000,9.820000,3.640000
rdf,512,100000,2.740000,23,16.602400,32.470001,0.020000,0.820000,53.459999,1.050000,8.660000,3.510000
rdf,512,100000,2.730000,20,16.908600,32.650002,0.020000,0.820000,51.860001,3.810000,7.360000,3.480000
rdf,512,100000,2.460000,21,16.145201,34.279999,0.020000,0.840000,52.669998,0.630000,8.310000,3.250000
rdf,512,100000,2.490000,21,16.691799,32.840000,0.020000,0.810000,53.349998,0.560000,8.840000,3.580000
rdf,512,100000,2.070000,20,16.420500,33.529999,0.020000,0.850000,53.820000,0.590000,7.410000,3.780000
rdf,512,100000,2.490000,21,16.294701,34.130001,0.020000,0.840000,52.930000,0.440000,8.430000,3.200000
rdf,512,100000,2.730000,23,18.083300,30.040001,0.020000,0.750000,49.439999,0.930000,7.940000,10.880000
rdf,512,100000,2.700000,24,17.568199,33.169998,0.020000,0.800000,52.810001,0.670000,8.840000,3.690000
